State,"Total Year-Round Beds (ES, TH, SH)","Total Non-DV Year-Round Beds (ES, TH, SH)","Total HMIS Year-Round Beds (ES, TH, SH)","HMIS Participation Rate for Year-Round Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Year-Round Beds (TH),Total Year-Round Beds (SH),"Total Units for Households with Children (ES, TH, SH)","Total Beds for Households with Children (ES, TH, SH)","Total Beds for Households without Children (ES, TH, SH)","Total Beds for Households with only Children (ES, TH, SH)","Dedicated Veteran Beds (ES, TH, SH)","Dedicated Youth Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Non-DV Year-Round Beds (ES),Total HMIS Year-Round Beds (ES),HMIS Participation Rate for Year-Round Beds (ES),Total Seasonal Beds (ES),Total Overflow Beds (ES),Total Units for Households with Children (ES),Total Beds for Households with Children (ES),Total Beds for Households without Children (ES),Total Beds for Households with only Children (ES),Dedicated Veteran Beds (ES),Dedicated Youth Beds (ES),Total Year-Round Beds (TH),Total Non-DV Year-Round Beds (TH),Total HMIS Year-Round Beds (TH),HMIS Participation Rate for Year-Round Beds (TH),Total Units for Households with Children (TH),Total Beds for Households with Children (TH),Total Beds for Households without Children (TH),Total Beds for Households with only Children (TH),Dedicated Veteran Beds (TH),Dedicated Youth Beds (TH),Total Year-Round Beds (SH),Total Non-DV Year-Round Beds (SH),Total HMIS Year-Round Beds (SH),HMIS Participation Rate for Year-Round Beds (SH),Total Units for Households with Children (SH),Total Beds for Households with Children (SH),Total Beds for Households without Children (SH),Total Beds for Households with only Children (SH),Dedicated Veteran Beds (SH),Dedicated Youth Beds (SH),Total Year-Round Beds (RRH),Total Non-DV Year-Round Beds (RRH),Total HMIS Year-Round Beds (RRH),HMIS Participation Rate for Year-Round Beds (RRH),Total Units for Households with Children (RRH),Total Beds for Households with Children (RRH),Total Beds for Households without Children (RRH),Total Beds for Households with only Children (RRH),Dedicated Veteran Beds (RRH),Dedicated Youth Beds (RRH),Total Year-Round Beds (PSH),Total Non-DV Year-Round Beds (PSH),Total HMIS Year-Round Beds (PSH),HMIS Participation Rate for Year-Round Beds (PSH),Total Units for Households with Children (PSH),Total Beds for Households with Children (PSH),Total Beds for Households without Children (PSH),Total Beds for Households with only Children (PSH),Dedicated Veteran Beds (PSH),Dedicated Youth Beds (PSH),Dedicated Chronically Homeless Beds (PSH),Total Year-Round Beds (OPH),Total Non-DV Year-Round Beds (OPH),Total HMIS Year-Round Beds (OPH),HMIS Participation Rate for Year-Round Beds (OPH),Total Units for Households with Children (OPH),Total Beds for Households with Children (OPH),Total Beds for Households without Children (OPH),Total Beds for Households with only Children (OPH),Dedicated Veteran Beds (OPH),Dedicated Youth Beds (OPH)
GA,7413,6041,4588,61.89%,4554,2859,0,893,3346,4024,43,239,175,4554,3577,2848,62.54%,202,109,540,2029,2491,34,56,104,2859,2464,1740,60.86%,353,1317,1533,9,183,71,0,0,0,.,0,0,0,0,0,0,2955,2718,2686,90.90%,741,2522,433,0,359,95,8218,8159,6832,83.13%,1435,3233,4985,0,2974,44,3358,250,250,155,62.00%,52,126,124,0,1,0
GU,145,94,89,61.38%,131,14,0,26,92,34,19,5,24,131,88,83,63.36%,0,7,22,87,26,18,5,18,14,6,6,42.86%,4,5,8,1,0,6,0,0,0,.,0,0,0,0,0,0,28,28,28,100.00%,5,22,6,0,8,0,191,191,85,44.50%,24,89,102,0,106,0,81,3,3,3,100.00%,0,0,3,0,0,0
HI,3384,3159,3107,91.81%,2055,1287,42,501,1819,1565,0,362,67,2055,1903,1873,91.14%,0,4,206,838,1217,0,238,49,1287,1214,1192,92.62%,295,981,306,0,82,18,42,42,42,100.00%,0,0,42,0,42,0,1190,1190,1190,100.00%,222,786,395,9,324,106,2554,2554,2554,100.00%,288,612,1932,10,1186,45,1329,0,0,0,.,0,0,0,0,0,0
IA,2566,2081,1548,60.33%,1620,922,24,364,1031,1490,45,79,119,1620,1331,937,57.84%,363,91,196,531,1049,40,5,53,922,726,587,63.67%,168,500,417,5,50,66,24,24,24,100.00%,0,0,24,0,24,0,1041,736,736,70.70%,195,704,337,0,113,37,1060,1039,738,69.62%,74,263,797,0,449,1,805,239,239,239,100.00%,44,171,68,0,12,0
ID,1577,1183,886,56.18%,1194,383,0,184,727,840,10,88,10,1194,931,786,65.83%,56,122,121,494,690,10,18,10,383,252,100,26.11%,63,233,150,0,70,0,0,0,0,.,0,0,0,0,0,0,393,386,314,79.90%,101,333,60,0,54,4,907,907,868,95.70%,108,333,574,0,453,0,200,0,0,0,.,0,0,0,0,0,0
IL,10233,8737,7948,77.67%,7149,3002,82,1401,4690,5494,49,474,842,7149,6183,5589,78.18%,837,238,791,2883,4237,29,107,221,3002,2472,2277,75.85%,610,1807,1175,20,340,621,82,82,82,100.00%,0,0,82,0,27,0,2565,2397,2321,90.49%,623,1830,735,0,268,58,14114,14022,11008,77.99%,2092,5797,8316,1,3594,83,5131,1005,900,704,70.05%,234,836,169,0,95,34
IN,5821,4373,2874,49.37%,4206,1539,76,734,2444,3323,54,383,104,4206,3206,2087,49.62%,454,390,518,1742,2410,54,62,61,1539,1091,711,46.20%,216,702,837,0,296,43,76,76,76,100.00%,0,0,76,0,25,0,1222,983,944,77.25%,242,859,363,0,250,16,4231,4187,2958,69.91%,488,1396,2835,0,1360,0,1392,466,466,89,19.10%,52,181,285,0,132,0
KS,2813,2134,1020,36.26%,1731,1082,0,359,1309,1439,65,108,142,1731,1254,563,32.52%,195,76,171,733,993,5,63,7,1082,880,457,42.24%,188,576,446,60,45,135,0,0,0,.,0,0,0,0,0,0,717,697,505,70.43%,155,514,199,4,115,4,1429,1429,1185,82.93%,174,371,1058,0,509,0,385,0,0,0,.,0,0,0,0,0,0
KY,3322,2723,1892,56.95%,2665,657,0,324,1102,2178,42,327,125,2665,2117,1338,50.21%,220,300,258,897,1726,42,30,48,657,606,554,84.32%,66,205,452,0,297,77,0,0,0,.,0,0,0,0,0,0,1262,984,992,78.61%,257,892,370,0,177,132,3187,3038,2836,88.99%,423,1368,1819,0,925,50,1482,245,245,235,95.92%,38,137,108,0,0,0
LA,2580,2260,2039,79.03%,1748,730,102,223,733,1815,32,372,194,1748,1475,1317,75.34%,0,68,174,566,1150,32,52,99,730,683,620,84.93%,49,167,563,0,233,95,102,102,102,100.00%,0,0,102,0,87,0,1799,1620,1642,91.27%,365,1211,588,0,303,119,5427,5346,4755,87.62%,534,1538,3889,0,1290,46,2728,0,0,0,.,0,0,0,0,0,0
MA,17528,16654,16117,91.95%,15360,2080,88,4173,13107,4394,27,723,190,15360,14844,14595,95.02%,524,486,3860,12318,3016,26,90,50,2080,1722,1434,68.94%,313,789,1290,1,585,140,88,88,88,100.00%,0,0,88,0,48,0,5700,5673,3881,68.09%,1676,4788,912,0,387,64,12635,12580,10080,79.78%,1740,4029,8606,0,4168,129,7745,4997,4976,3236,64.76%,1537,3722,1275,0,83,14
MD,5221,4771,4116,78.84%,3450,1712,59,646,2338,2874,9,426,84,3450,3057,2821,81.77%,652,482,413,1690,1751,9,95,33,1712,1655,1236,72.20%,233,648,1064,0,317,51,59,59,59,100.00%,0,0,59,0,14,0,1439,1411,1372,95.34%,339,1037,402,0,105,103,7924,7917,6595,83.23%,1102,3636,4288,0,1556,51,4072,1926,1926,440,22.85%,425,1083,843,0,0,0
ME,2348,2050,1886,80.32%,1241,1092,15,342,1035,1293,20,68,99,1241,1081,925,74.54%,0,177,163,522,703,16,14,57,1092,954,946,86.63%,179,513,575,4,54,42,15,15,15,100.00%,0,0,15,0,0,0,309,309,309,100.00%,67,209,100,0,0,0,2404,2396,2375,98.79%,307,960,1444,0,311,4,261,114,38,38,33.33%,28,103,11,0,0,0
MI,8964,6830,6386,71.24%,6588,2317,59,1259,4169,4676,119,534,434,6588,5239,4889,74.21%,902,170,802,2842,3649,97,103,110,2317,1532,1438,62.06%,457,1327,968,22,388,324,59,59,59,100.00%,0,0,59,0,43,0,4052,3948,3935,97.11%,968,3230,822,0,292,329,9031,8991,7459,82.59%,1268,3899,5132,0,2241,134,4751,939,939,404,43.02%,192,574,365,0,1,15
MN,6730,5839,4882,72.54%,4263,2467,0,1164,3669,2984,77,136,675,4263,3555,3075,72.13%,292,195,605,2045,2173,45,4,170,2467,2284,1807,73.25%,559,1624,811,32,132,505,0,0,0,.,0,0,0,0,0,0,2553,2513,2515,98.51%,661,2019,534,0,120,294,11029,10905,9787,88.74%,1477,4680,6348,1,1051,539,2584,4960,4916,4678,94.31%,775,2446,2495,19,31,155
MO,5763,3953,3038,52.72%,3921,1791,51,865,2718,2886,159,332,585,3921,2311,1970,50.24%,489,379,490,1753,2054,114,140,204,1791,1591,1017,56.78%,375,965,781,45,167,381,51,51,51,100.00%,0,0,51,0,25,0,1361,1189,1139,83.69%,295,983,375,3,205,77,5867,5854,4875,83.09%,970,2552,3315,0,1379,39,5192,254,254,117,46.06%,7,14,240,0,47,2
MP,30,0,0,0.00%,30,0,0,4,5,20,5,0,5,30,0,0,0.00%,0,0,4,5,20,5,0,5,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,10,10,0,0.00%,5,10,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0
MS,962,678,424,44.07%,538,424,0,142,468,472,22,32,79,538,319,289,53.72%,0,10,71,277,239,22,2,40,424,359,135,31.84%,71,191,233,0,30,39,0,0,0,.,0,0,0,0,0,0,1144,1134,1131,98.86%,245,707,437,0,206,34,910,898,898,98.68%,456,685,225,0,100,12,403,75,75,75,100.00%,4,16,59,0,10,0
MT,1351,1035,433,32.05%,961,390,0,201,667,661,23,115,43,961,741,361,37.57%,86,56,134,444,517,0,12,0,390,294,72,18.46%,67,223,144,23,103,43,0,0,0,.,0,0,0,0,0,0,232,232,232,100.00%,55,152,80,0,73,7,941,941,272,28.91%,164,311,630,0,572,13,245,0,0,0,.,0,0,0,0,0,0
NC,7928,6582,4852,61.20%,5932,1976,20,861,3177,4700,51,471,106,5932,4721,3707,62.49%,387,391,541,2282,3614,36,111,45,1976,1861,1145,57.95%,315,880,1086,10,360,56,20,0,0,0.00%,5,15,0,5,0,5,1606,1568,1550,96.51%,375,1172,434,0,184,32,6174,6162,4413,71.48%,732,2476,3698,0,2130,0,3201,387,387,326,84.24%,84,274,113,0,50,0
ND,757,383,380,50.20%,563,178,16,73,268,479,10,36,36,563,316,313,55.60%,52,4,36,181,372,10,0,10,178,51,51,28.65%,37,87,91,0,20,26,16,16,16,100.00%,0,0,16,0,16,0,129,118,118,91.47%,11,34,95,0,90,0,743,719,347,46.70%,62,254,489,0,372,0,330,0,0,0,.,0,0,0,0,0,0
NE,2764,2499,2434,88.06%,1997,733,34,291,951,1783,30,87,125,1997,1786,1751,87.68%,0,134,180,622,1349,26,10,28,733,679,649,88.54%,111,329,400,4,43,97,34,34,34,100.00%,0,0,34,0,34,0,955,860,857,89.74%,199,641,314,0,99,45,1260,1260,1260,100.00%,130,345,915,0,564,30,972,291,291,121,41.58%,28,103,188,0,26,0
NH,1574,1389,1275,81.00%,1039,526,9,293,887,679,8,106,60,1039,878,785,75.55%,66,13,161,503,528,8,0,8,526,502,481,91.44%,132,384,142,0,106,52,9,9,9,100.00%,0,0,9,0,0,0,272,262,262,96.32%,54,188,84,0,14,5,1105,1105,754,68.24%,170,524,581,0,364,0,191,88,88,73,82.95%,19,56,32,0,0,0
NJ,7178,6369,5914,82.39%,4817,2341,20,1850,3910,3209,59,415,343,4817,4276,3902,81.00%,225,2242,1379,2699,2069,49,39,157,2341,2073,1992,85.09%,471,1211,1120,10,376,186,20,20,20,100.00%,0,0,20,0,0,0,3208,3158,3100,96.63%,1169,1835,1373,0,221,70,7564,7524,5718,75.59%,1660,3350,4210,4,1605,234,3859,748,748,660,88.24%,167,456,292,0,14,0
NM,2379,1849,1141,47.96%,1718,661,0,301,1122,1146,111,87,163,1718,1248,696,40.51%,185,176,163,678,954,86,39,86,661,601,445,67.32%,138,444,192,25,48,77,0,0,0,.,0,0,0,0,0,0,820,566,564,68.78%,195,674,146,0,73,59,2070,2070,1409,68.07%,369,886,1184,0,390,0,1338,116,116,116,100.00%,29,116,0,0,0,0
NV,3153,2858,2746,87.09%,2083,1045,25,206,660,2462,31,493,275,2083,1856,1831,87.90%,385,383,161,550,1508,25,70,132,1045,977,890,85.17%,45,110,929,6,423,143,25,25,25,100.00%,0,0,25,0,0,0,1115,1011,1011,90.67%,218,748,367,0,228,126,2947,2947,1546,52.46%,237,728,2219,0,1846,5,1242,50,50,50,100.00%,3,10,40,0,27,6
NY,88955,84539,75223,84.56%,82974,5899,82,16068,50170,38577,208,725,1670,82974,78870,72220,87.04%,547,2430,15567,48794,34022,158,243,705,5899,5587,2961,50.19%,501,1376,4473,50,412,965,82,82,42,51.22%,0,0,82,0,70,0,4508,4192,4143,91.90%,951,2967,1533,8,364,339,46836,46091,25243,53.90%,4306,12126,34671,39,8008,1123,25597,3096,3090,3017,97.45%,678,2492,604,0,29,0
OH,9253,7547,6495,70.19%,7357,1804,92,1226,3879,5288,86,558,457,7357,6125,5195,70.61%,408,674,918,3031,4249,77,112,260,1804,1330,1208,66.96%,308,848,947,9,394,197,92,92,92,100.00%,0,0,92,0,52,0,6069,5842,5662,93.29%,1261,4198,1871,0,531,402,18124,17981,16099,88.83%,2292,7142,10982,0,2937,244,9673,209,209,38,18.18%,25,48,161,0,24,0
OK,3101,2468,1865,60.14%,2440,636,25,290,1083,1957,61,132,181,2440,1847,1358,55.66%,124,405,199,821,1561,58,61,88,636,596,482,75.79%,91,262,371,3,71,93,25,25,25,100.00%,0,0,25,0,0,0,509,481,472,92.73%,123,337,172,0,164,9,1859,1859,1136,61.11%,129,376,1483,0,740,47,748,0,0,0,.,0,0,0,0,0,0
OR,5957,5509,4758,79.87%,3729,2218,10,658,1623,4224,110,474,378,3729,3337,2919,78.28%,795,31,395,1133,2528,68,146,144,2218,2162,1829,82.46%,263,490,1686,42,328,234,10,10,10,100.00%,0,0,10,0,0,0,4259,3901,3514,82.51%,1165,3192,1059,8,589,236,7639,7558,6177,80.86%,971,2879,4760,0,2287,163,3092,152,152,81,53.29%,78,78,74,0,0,0
PA,12789,11133,9550,74.67%,8787,3694,308,1845,6027,6704,58,750,483,8787,7570,6351,72.28%,1414,366,1161,4009,4724,54,119,217,3694,3255,2910,78.78%,684,2018,1672,4,575,242,308,308,289,93.83%,0,0,308,0,56,24,5530,4944,4924,89.04%,1286,3978,1552,0,334,476,13225,13140,10522,79.56%,1926,6276,6949,0,3124,80,5518,397,393,257,64.74%,21,60,337,0,30,0
PR,731,533,533,72.91%,325,384,22,55,185,546,0,32,9,325,242,242,74.46%,0,0,22,73,252,0,7,0,384,269,269,70.05%,33,112,272,0,25,9,22,22,22,100.00%,0,0,22,0,0,0,326,239,239,73.31%,52,156,170,0,10,15,1803,1689,1641,91.01%,147,417,1386,0,230,10,1150,255,255,255,100.00%,0,0,255,0,0,0
RI,993,826,730,73.51%,726,267,0,158,411,582,0,62,0,726,648,552,76.03%,82,40,89,240,486,0,0,0,267,178,178,66.67%,69,171,96,0,62,0,0,0,0,.,0,0,0,0,0,0,394,332,332,84.26%,75,255,139,0,63,11,1237,1213,929,75.10%,160,538,699,0,294,5,540,633,631,631,99.68%,70,196,437,0,0,0
SC,3067,2611,1764,57.52%,2067,983,17,226,1113,1933,21,274,107,2067,1691,1041,50.36%,655,1,146,808,1243,16,20,32,983,903,706,71.82%,80,305,673,5,249,75,17,17,17,100.00%,0,0,17,0,5,0,472,465,468,99.15%,73,233,239,0,200,32,2110,2044,1618,76.68%,198,620,1490,0,1317,6,1029,451,451,175,38.80%,66,182,245,24,0,32
SD,1215,750,181,14.90%,1123,92,0,206,595,620,0,35,26,1123,665,171,15.23%,14,19,196,579,544,0,23,4,92,85,10,10.87%,10,16,76,0,12,22,0,0,0,.,0,0,0,0,0,0,321,278,119,37.07%,76,259,62,0,58,0,621,621,183,29.47%,73,233,388,0,438,0,552,25,25,25,100.00%,0,0,25,0,25,0
TN,5060,4468,2837,56.07%,3423,1632,5,445,1484,3561,15,362,71,3423,2933,1614,47.15%,519,164,294,983,2425,15,11,19,1632,1530,1218,74.63%,151,501,1131,0,346,52,5,5,5,100.00%,0,0,5,0,5,0,1664,1481,1465,88.04%,457,1269,383,12,225,27,4443,4443,3915,88.12%,589,1939,2504,0,1247,5,1302,331,331,313,94.56%,52,183,148,0,0,18
TX,18141,14274,10942,60.32%,13872,4110,159,2081,7575,10360,206,972,736,13872,10799,8638,62.27%,78,385,1463,5385,8285,202,438,421,4110,3316,2145,52.19%,618,2190,1916,4,420,315,159,159,159,100.00%,0,0,159,0,114,0,5645,4391,4189,74.21%,1141,3518,2127,0,1018,265,14797,14522,13714,92.68%,1695,4847,9950,0,5633,92,8415,2374,2374,2164,91.15%,594,1850,524,0,25,20
UT,2865,2030,1816,63.39%,2315,550,0,248,1239,1577,49,105,115,2315,1789,1584,68.42%,58,190,148,879,1388,48,0,78,550,241,232,42.18%,100,360,189,1,105,37,0,0,0,.,0,0,0,0,0,0,999,920,904,90.49%,178,640,359,0,87,30,3119,3074,2934,94.07%,408,1338,1781,0,744,20,1687,174,174,96,55.17%,13,56,118,0,5,0
VA,4973,3781,3197,64.29%,4041,885,47,780,2686,2258,29,122,86,4041,3050,2686,66.47%,1333,192,565,2025,1987,29,36,29,885,684,464,52.43%,215,661,224,0,54,57,47,47,47,100.00%,0,0,47,0,32,0,2664,2215,2083,78.19%,610,1943,721,0,215,42,4660,4660,3068,65.84%,535,1413,3247,0,1703,7,1752,1141,1141,1116,97.81%,140,518,623,0,25,0
VI,92,65,57,61.96%,34,58,0,17,19,73,0,0,0,34,22,22,64.71%,0,0,2,4,30,0,0,0,58,43,35,60.34%,15,15,43,0,0,0,0,0,0,.,0,0,0,0,0,0,24,24,24,100.00%,0,0,24,0,22,0,45,45,45,100.00%,0,0,45,0,2,0,0,0,0,0,.,0,0,0,0,0,0
VT,823,649,564,68.53%,621,202,0,87,299,506,18,61,81,621,498,462,74.40%,204,353,72,258,348,15,4,28,202,151,102,50.50%,15,41,158,3,57,53,0,0,0,.,0,0,0,0,0,0,576,542,417,72.40%,149,443,133,0,50,0,550,550,313,56.91%,35,107,443,0,237,0,502,104,104,26,25.00%,2,8,96,0,0,0
WA,14817,13294,10113,68.25%,10213,4520,84,1983,7043,7540,234,501,951,10213,9198,7062,69.15%,1109,285,1067,4006,6037,170,112,416,4520,4012,2967,65.64%,916,3037,1419,64,350,535,84,84,84,100.00%,0,0,84,0,39,0,5661,5192,4770,84.26%,1090,3251,2393,17,578,276,12204,12166,10149,83.16%,1122,3388,8816,0,3590,106,5768,4669,4462,3851,82.48%,1075,3695,974,0,172,227
WI,4341,3221,2915,67.15%,3215,1072,54,739,2380,1908,53,232,114,3215,2354,2228,69.30%,564,333,535,1687,1477,51,0,87,1072,813,633,59.05%,204,693,377,2,232,27,54,54,54,100.00%,0,0,54,0,0,0,1556,1452,1503,96.59%,339,1225,331,0,71,109,3706,3697,3350,90.39%,347,1112,2594,0,1409,18,1168,740,740,672,90.81%,71,275,465,0,92,0
WV,1480,1109,923,62.36%,1284,188,8,188,602,864,14,70,57,1284,946,766,59.66%,65,202,157,535,738,11,39,11,188,155,149,79.26%,31,67,118,3,31,46,8,8,8,100.00%,0,0,8,0,0,0,667,609,601,90.10%,85,284,383,0,102,0,1199,1199,795,66.31%,146,385,814,0,542,3,444,130,122,122,93.85%,9,26,104,0,8,0
WY,804,599,585,72.76%,533,271,0,125,325,418,61,20,115,533,328,322,60.41%,0,0,99,225,301,7,0,7,271,271,263,97.05%,26,100,117,54,20,108,0,0,0,.,0,0,0,0,0,0,34,34,34,100.00%,3,10,24,0,32,0,210,210,58,27.62%,25,78,132,0,152,0,58,0,0,0,.,0,0,0,0,0,0
Total,396149,346851,286968,72.44%,301589,92258,2302,58858,189422,203688,3039,17958,15804,301589,264311,224659,74.49%,20958,14919,44503,146083,153095,2411,4209,6276,92258,80283,60133,65.18%,14350,43324,48311,623,12538,9499,2302,2257,2176,94.53%,5,15,2282,5,1211,29,122815,114321,109582,89.23%,29049,88049,34703,63,13152,5510,373030,370163,283173,75.91%,44554,128076,244812,142,105841,5179,179569,49877,49264,37521,75.23%,9388,28547,21273,57,1607,751
